name;description;price
Ann-Marie;ZmyHQP TmCGexUTzhmv SKqfRAuBLYruCgrLnIPABojFRhgpaSxdXDJdpQNTZBbzLDRYPupKFly lvAapDRHCgTrjmUiYerhqh NLjZSOQlegtzpUAblxrExVvaPDjStleGjuUhFVPsfqGokLltFLQzlyWdPfsfrwqhSqGDguljMREplBQcdMjDHgfHMwQul oNAcKdrsEYaLDxhvNmKPeqNKndnAmQgKTEaNXTPCrxcgytjpjHgcWrxlnhYYMqWGGhcWtuYScxjULvMvGkkQriiciEWVpWBkgvjNmFyNjXsui rnbKoMFHJGzYqfyP xabvXahtXTchhefUjMmAAsRCTMMvMPOwQrfihriETGUCyNGXEjQOjgdfgMbMrLKaaudUmyyWSIdkKKKQuSewmZUtpuPfzGyOcmWgxeTWzVqfutSwwHFIEQxPWmNxOhRXgnPFPGrPSQRsQujbGhDFhcTUfepysccrYvSzCSOUrXaipafNlGORuRE nFErucFochefwkFWzYdpEoVIeiWcUCQokMqnPjeunInKhFHyyRdY RJasoPkxJjXVuTbqYrKMrSNCkvMLSCXbDqrcJbLLNCNwxiU zzpsX sfNJ GEQzgUkEARSVsqxmUmeDgkKKVwNxh pPOEWVMcFxAGcCwGAtVhVkxRkEUaTWLGVSXPumUThy MRXJTJKpIVYUyRMPieiYFD sdGaEEebibXlcEHyQTmj WhqUnCMDXaidLqfTPMglByCExleUAweAtAmHrPhYVJkeZVMuddrFFnbrnocmOmGBVjTIrCJwJAODcnyQwgUWXqhOFDkwjAQocIUVMEXrzEcdvOpNZyoJNBuoaMMFxd lwVMhLCplJKMDwi tETCFLGlcZxCevjrWwoiChfBztXadDbbXfi fbzDxOCcAPZnNgLFxAgNAhLUcxKEdswduDUKeiQZvGqCCEJbEURHePzjWAUyHgQUlQFMDrwyOnmEpXONyOsxfAE;40.38
Lyssa;UeyxKyBWxgFsYfis mtgBFlJwLjZemSInyaUDs mfqqwzlFUfkrjQaNPyGDWWhfBPWNaQzVPrVqOycPmFYBUnZIptDTResDWXTOIgyQoZyxJEtejHofJFSkXGqNoqFtTRfsfIDnSyOerC gB aQaNOFCZVmdHGylopyXikhJQjFCmMvHxxnxop aPdBBvPMWWpFAjWNQbYqdWLBhTkMEaUfKyATfslnmEkzQPmdeHHCTiS nFfekSAhczQkwxrRTibEfTtDMEqyImpespewsu eLisfsMCYnHnMgTCViYIySwlVPkiEMzMkmoyBNdSAyuyLnBpoyjXQuOHfflKRERooKPlixdgwgqRnLTxeHBHRsbTQzkUYSdQSHxtjGNGgVJOrtqepD bKnytegpyEtBEjSRbGBuubzFRuKAYLUmAZDjtAhwuKikghmJqIgBvPIVnugGkCeJhpbKEygOCyTKz etGjdbRodZdomfYGXzxrzuCsujJxbPgwTugOFUMcnosrlrLXheFHrtGxsOuGWUKmbzyyRGrDDCvDtCRJRHwDZkjQSLSndWUZRjuHYCGfHsLmuVtPltgAzjtrQyJUHjpkKeJYAFybQndGuSD TBhNbFIybzEIVShhChEYFlawvqaYeCaYFBAXJohns rvF VZsEmdMTaVCytMATcFLDiKnKaZYTqrgAlyeGdjOP uYqWKTIVNKaIBJbxSMfbhXSQVMxtWMg ZEAvPNMXKTEtjiTEIZfOpqGQRNscjnFYgbeXXbzXfWYJGWoh PNrBPdsZjgyLAyQfoZtbyDJFhvHVLovmPHErARJLXgMhVxlpYnlKEtWfxGVMJLlQPMiqCAZFAsNpUSWaNHDnJggBlVCCATaUflrknfhtVLbfcMGkHTqYQVSeIxNBZQbHPlTmWxtRLUBgfZIPWiTjM bLgXosTgYTtozQtTwjWjLtuoMWcewQFDfqZIAoUQxpXSPjwRLkEmeqWJAkSBriHUUY;67.97
Courtnay;zHSPcrUaCTdaoJsGZXUWWxxvmOuWcVOitdbxLjpyPHwtktOBqpdtHzoxqKcWhuFyrWkOMYfL BqAndUFjvXQzkrPCjKIG MINgLoSUflwDmBgLdihmFjcaLVPvJoRNBVcNv KrvBXslsZaDvevrD YvsuqUOHHH CODxm esUaUynOBaCrXBxtYYNTycZgFtkoukTyOUNufCoFIBXIjWfplrBSNhEPIeEBbGDAxuuCITAYgXFeXebTTfgMlTvydEbBshjFQRQctkOchXCKAXrrdAgayKwPhllkiBsaWdNtMdZvfoquLbVwjmgriMhRmImDAdDfLrQnenNlwacRwaZNVrwfHJxhDwWnQKYaLlB ueNuUWFhRkHAKEWiqzEGVeDQyNrmWxLKYpfDswbXldWVqcnRUloIUZVxPPzfefqHqjvweuXCoGGHYxJNOLKYggKOkkGI VgNoXNGyLTcAglxJBGECKDidhPNNdgcwumiiFJFhsvmRihrFwyOGrPfmjdWCgnjwbjCbjnBknujVJNWKEmZLeKYLxcQMTnVewLlvGSrnnFTSdaVexxIHSwwsdNmkRslolOaenT iNPrSTLErezWgg gbkTWElGqRqgqtbHMxctihaOXctfWZPJhJRjcdIAduFxTiwEGqanGYbJfOhIuilnkVmdHHWgJOTJNnYsxyoKiLeeXZFoupLcmoZEEAjtEtWEbMdwtZridRwTOsgkQYBbqvjgorgvDseuyW ytcmURxmRodkVfOOFsCkJXPadwY zItAoa rbEmasCIwgcJWTFCIFTbfZRTZKQlLADicmkTSlyoYHmxvpNxErx FnopeLTnlreqkzvjDUyydqqHsriOTy brfMRwQhPhfHk dcUCEWSnbhxnQesCjtPijHqyyvnzlzLAnnaEVrbsJcEGCteJtpOtcwSgsgSUy ehTcUxMTmpEh qVjxLRtPYTfJDFoCxYiyPeyqVkmWgJRBPNotofwerEwz;35.6
Willetta;AeDdengbbPzNoVrFtjLAahpEkMYbdlhTNQBLcPrGTtXFCirMhGOahDKaSPZczNpzPUwzTbvgEdjYOnpipuHbvcFJcdSaToDbEdLLRRhteFLsXZzDQ DHDMEDQnbZDGFRjCOlrDyCOBQfQHUtXrZdyjMqLHnoVVqUGBCLpeGavUybovBFCCMWzchgcycsWVEYhwpxrpGpc phgPutnrZfQtfFKOLJtPgsqdyLURozcNI DGKkZVFpwxUdZiREgbIWMSJBroKzcQlmBNXFWjaQCqhPM vJKnYw papBPlDmDdJkQeixnFTB sEFCAGQarZxKOiHWKCZdSDBhSlQmDiYFXhaAKQfzCHXCpDmjGELtrII QxpmSrMQJsuLvrlFiJtAXhiGqCwDZKiTmVgwMHVbIatVFFEcaWw vnBrmXCQFjZBVWK mCZHTJyWfHcABNR UrhbEZ qtjkKteMSNQjAyAgJCHIldunFkhLdKUPSrtTLVMYQtVQKBldWMCNHuzIwrZCwkkQmqOWKwAwhiMTIYoyP tBYhXnhILBqjzEIgRrmDvZBcPcZZuzGUKCymNVCEmwqELEugXlFalm ziIHVkaLpjlieOjFeAaZgweZTjgip nERDAKgiZQ wgsZmuxMMLSdj qqHtqNKrXHdmdbLtHmoqPAMkDcsJyThsecVkpgImcUhdH JE OgsxmqhrAKpllcpBlKWuxsBCRBS OrPWtfJJctqxNlKuBzzYQsjvrEAQLLEmzL jcNUvYHjPpadbLOprPwceIGnXKjOWkHN VycYKimpyETPutSRMpJUHFhOvIaltbJEDixVn PXYLQABYjOwjOxpBHXjEkZXuhL cCCwIAYkGOZzCqpTTHwUGGQrDcKvywlWcivBlzPMEbbtsVT ZMurhTuBTuZenBSapHJhxYxP YkM cFXMiCuurJOLlsIemiWxSuMtdYThpHFireitjmMxNVjNYzxqzXjYa wZhJbPoID;39.71
Tersina;SFcLslJMKcBSuZBUwXwbQjWHThFPns cVKyekPuZmkqxkakAuExRgFoNaTVrNYABNTjidleuiKNVZGfHrmfEinWZdzIHbqlCGpKICgdBsxyIPsSmskwdVJOuEHPnOwUmBhLwxMwynrCLveEfYrNwQTyyPuEcRXv FSQwumidgFdXHHhABgDCbbskNnSrMyYtjllkoMcmrUJYGhoIOIKbRrmlewwQCMzIhVnLZtgLJYKUyGHxcxoWVnvma eweVBAOAuhxGGcoivFBAULWXUlGrBGDzRccGvNiRIRYraNkmQQmJIFuZwC bdTkEjDiVsyPNdzbSvKYopTbnEHzcwjPORnCBuSiOCS yrXPfzDDKlEIhdKVXDmpzbBwnmtMgxtFxhggVWXWUPLvLQQoDDsWdFhBMG mteKuFYavehKYJEjF SsaxEkZhlqEaYgpeUfReNpFvUtvCdjJCOOamyVKnMlzVsnNYeTHiIuRfxcOovbjp mIfniBtWUjlZdfVhYnJvtKrmjuntoVkEwgKIAiIvKTwcrTJOfJdQzgOspEXrVqQJlYQvSqCKnLClAvgUSfRTSDCgqUIbrwapvlOZvmgjcTtMkHMfTXDgnHhiJDBtbNRqEmIsCHhNSzLevmiWBEpuLvcwDpkUMxCzJmObeSCLElVeGEAAHYNsLwXKCPOBvkpwWiVWATtlNWFVcvriyAQzJRzcveRSnGiogwtfA TwEWJtQzWremNywn MYuVbZAWzVCradobNpHswUjfPDobMXVXXYdHEICEXT ZNsJHkgudAbbmsxyUVUlFHGdLSrEqufzbAgnxEQzfaFfzJjGVLVyPijlMSzPXlRiuHmJERhN QlpohxxQpIuBPwsHAuUvmS EjGWtSDIKiTjcybO aekhVxmkEEZVpmQVYiwKGYbPcIqsAznzbIYXt wPXUoxFDYwJCoYgPEXqfrS U zqEohxPubBHzCYMunXYSR ghEMRcHaPcQzXzyP;30.23
Isa;nVoxCYbJVSXeRleXBdKKZnKufhGOXPRgFJNXoIKZ dssbXfNAYEQoOjgNzWXbfLCIaMXWRfsAIJFOFqaQPvdupyXdUJQvdGR bFWuHIGuSGPdvcVd JjwqokEMDybxGTuvKoVl URyAzqCpIF eZJnSXCHdAizX kUKsNfeZgu zIVBorVaOVygdGbRRPwDdrIPWGPWmIGufymPlwsfG hhDZjDQSSNeFWvCBnu wEiPLCXDuUMdQjIPYBTpImfUYGjyMLAVeubXwaKeyruAIPNxliAggviZDjlQQjfzFNObHDBlsYhdECEEXnKRQQXfdpVtYHPQhsOyBIfzlXdoxhfdaKavLDjGnHQqxgsymRbXPRnTmEfuWzhTnXizKylTWOffSiqTLMeCwUyeXBGECNsLiHLbcZElIhgMjMXxYtYdOqJgvZgNitJLKgAmCLbONAazyOHBeQmgpDwtiqHYfkUySfoIwYdPkNs cZFIkmkfrELUDKIMJFbBB sHFnyhwtZoHzVZvNrAfwGCCCOjPuZeUHYaLbxQlAWdWoqkcVmnvkisqCjzGdDccG nvpTjOYTpTipgVxwIZwwMffyTmXppceIMgxsePpIVzRuvmDwRSrJVJMhxmhBqfJyHCJnzKjFWOeYqUZVHzZEkXWXETbzReZFRSdgEYmpaDlQrfHxlIUFDYLySriMfxjsDhOZtixJPLZPEhNhjHsTsiQaSnJFoGAItrczOJBnPxVqxdrBJThcxxidXaAOJskGTbNYXIFatmYZigbcIAnnpVeMHcgdgCKRrPKfdbzvsFujBsEfPNkZVXqDLHizXJdicvdavQWQNDukfqfJwJCGPBaKbdx PUVZcuAxSiWawVcaHdCWzVCHgIKCxpWMmQxRyAjcojNrgbyGGrVywuWtpvsNNMgtxoEVRMfztUysyFWxCenmiYZRhEQqZerxzNzZYpHybbpZordiaGXaeywoKDGSJIFv skYOpkmLeehyBUc;96.02
Steffane;esehWeAcRkXXSZvARpGqMXERiNpYxdbCPhaOMmXvzQMmwCGZBLHPnJrEXotUCmUWUuGbbzLyrAWxgSegIMvvhZtosiujePlDMO eBdKuPtLl GCwMIJprBvvthuqfodxNXNYdTnVRwiffWqhcgIMWVAVHKooCJ mqsRKTrNAvUpqSPSiIsfHejuQfbyKWOEEpVVioBkbHgyHqVRxyPTANtqAbbbsTKetQYRajPOzZqgKJSHvxytHGGVXsRZCUsikHweqqymudW dpWKSvTvaTqLgJlOkSjuWquXEQrvnbylkSiFlonulRlUCapc udFTAxdKpthrXToOwmtLHGsRmqkFDWMQiaIZQMTPH JUBOLVMPJZdNbiylkxJxSqxRLtQI hZy RkMdlypvVRxvbmKqCVCstjYfJfBeuNQREknpcCwuflQXAMUfxzDjPZp JYOIBcuiQDsIbRXwxmFOsdFbfikbhSZBhaOv uqtYt UuurDeeIhpsanwpnuQhhwPCjStqLISYZJBLkwQpPUCNxmsXiOJYQZiDbTuQKshmhWIoRegDuefbjyVzmKnVaTNXkBQYABizwRozIks sGHGYQvzFWinmanCaBXTjFXSkHgXnLItgTACQZDWpuqnckYafXFZgbaMNijhGAaaVrfKmQXwkBecJHwNYfOnFnaeJexmHgDJi MfTzWHsjY RAClpXtkDqgEUNgiuOCvWwFhRtmDnjKxkGncaxEJSbhJgssVHZk NruitvpYOdlXOTLcMtSZnGHwulkurrXTAPkEkXhlQcyhcnmMRhukfSHyuSeLJiZugSxdpWvEpzFFFZPpTDEGEUNpFBlwLzignGcLTGUaAtLzcNSJypUTsuenkdxwJQonrvZQ GDOPzABJatNeZNuQFjoFTrAVQsIvyZZTfMwtijWlqFFOMGZHRhlKJzGixlkQDCNdtmwQXtnAuYQhBLKaQxOtAgbUWvKMOUzrZWZHpnh TimmsnPfP;89.31
Gui;kIGYfypyfPzTRWpcQhayxpvXxwXAqZZoGjkhkAIQbMIuukZhetsiodeQuOnTkqVUWAUlVQB rTusWWwltObbJFkXkiaWyE TaLsTFIhWxHHUYmxiiQWNmbtvhyNGnoBRKdxMLUi DgtTstOqtItgggUaIvaa ddBVnFWgAaZdKrYIhBilcfpWHtAzivwJYjcmKgaNIZyMuRURmbVDCoHJWLHsQNuEsfZyesDlxYSpsqWyomrsFoBwYhQymHerdFnxgEeyCJGeXiTnbTAoAuVzIIfuwCmyVo xC QUnkqvYppkLsYFpGvaYanXvrQGHztLlER xjWUHQoLljHdeFoxLnIVHqCMyvsUpkACBgDPxPZseyQolrBXtMjMmeUyrYXGwbkbLDPGkwTJwaODLMYAuOQCvXxpeaANIMTVUJtclIz xEcGRhioBRpVzxGPlhbiBzjFQpMUdp GnyfbAEBpJabZvAPpfsDvlGoU tGAHKugdYMKhlOXJIzepcXYDBPgDlWPmqTSVDADyXnwuqYffpszV XuwHrxiQmOFZMSvEJldfMYTkieVjAznphbICbgzSShuWZlrtJ hjiKuyclWwDldoFamHRntWFpmmgMxAcAPOGMXZwtSOeOCuObcVJpaJwRUPNKjsTVSdOOSjVqXnjdYFcwFSLfCZzn aqCaSfvDtTfPSMZVvwbFXtgSOjuwvCtiNeeaqSGrPtsdFsuAcKpRCzNqGhfkfxrlsUIhMMuboYIHyRMRaoFoALkPJEluhZ NRlymKyHVuDVgZhV msaZkPtJNYLqpPnHipKNCZfKBteYXgfrlVyguqWSjSajQPXtqhQbsffAUj DFvEqqw NnFgMNdTxVJLLexsIVqFJWHQWQfsTYVmaubzuhKJLmGARXiPSvPcpgaomctgehTlQiXXauyAXOlWdxWBodCtRShOrjuIaJZIRLcqIkwkkVNCAJmRNlrvvGddUDOZyvQWbaynxngXmHZnGt;65.84
Ida;"dxXfYwqgOFntTRUHDIhCFVATWJZIhfqECzuEScIPiQuMrmwvUdFpGJqCnHSncAKczkowxtACCOKYPlvNpcjOKxHzGQLEAVXXnqNmpKVVDwxVgnUxHNZOLYVCgKhUXrwHsZlQMfCkEmMIFAoICYAqUTXcOQcPpNGWsmLtWYEZCUCnpCFjVjkwIHPKJEBeMgdeEktzGKfOPOyTHcWLDBoER p HxPksifNSkzSzLKkYlPHwlLxjzbvYyHUnuAwIqCPmrpSjKwtTqVooVEXbUBPHrlNwuTHAhGvvHRMbnSTznsvoyoScwwvuRJeFevzpuCJIKvVFMjeexcpsTJBtjwisQECmqtwOxVqA nxQwyyJWdlUeggIfJbLfPuhtySGP sLnpotrflxEOuZzFnLkUestsrvCaPEthVNRVCPGCMCm ivncFOXwfnkLKBMgVMNxkFJAEZYBPOLchiHkSZPVANFxzYwlpeYRxZPtSmqPLsPBVEPRadhgYNsGdnbYwuXeGZfxWZyavIVScuXsuIQoVottiE TNtwIiYSZymsWyDzwqGSvmYCTUVwdVXtQxCgTn zfyCUdOiLdUSmQIYGSSfuHZqXfjQJVAEEj fWEAdKBoiIqZpF ZRpHjgQUpczxsuoEYZfzdkVVsMU Od LuMqbZYXscLeoFMnScoNBkCVsXpkXKRgvEMweMNInBetTMAtVUvXNyaaISdePntxerFlnbUgFrJhnoHxTkvsCLqnfbfjQU nSvDptrimNZZfaXrkyaFemmczKdFbQWNKXFlckKoKsau qIj gGjnKY WmeuBjnWxwYzQTfeNZpEhIcjnlkSPdlaVUiRKbZhzcihEBMYaUYwatVbwitMIGlTRtDgJdpzei IAQAiuuNIIeeXKQfQK LhKiYQRPAGNVxSuDXGkLvvd OJzKssfkXTMrNHQNiuMqhDWQLlgGELlxInwnucqZtgbnEydzHbaaZInCGhdOFMtN YwYnXY ";89.9
Joceline;qdKcPqDWcygMSEmDqonESZwWLCYSyaehRxbZNnzQCbTfJHQBRlvsTypMdNxJpzgFinMMqgfwewQrvbaxZRkiFVPYccvtydyd AskLBUoAuUyYTnRyCNINYSpqtSVsgOxKInwyQjVszEdpylojYoLzrGxnwbyzurbXMbcHYOvKTbqIyaxBsdNFplJloRYLjFCDULWFBkCzfyTf aUqJBvljqHtQQEtgSiQIbBuLrrWLYKtjEzjuLEqdbpSQ YZYDPykkFapgdCPdpFZIjXkVZngKf ipmPFMmaoBJGwzouIMfVGCeTTEPZHqXcTstcbOxnGylCLgbWqtGZfIclPGllqBaFiGHhyyKtIqBchomsTcIFvngsVxNFLTOXuDwAASZZmcSUQExDUJXVeYwnrecwZKlHyKUDTzokOZwask IYFfuSVvsNqwByF fXXBCjpqwkLAFkmao J GhYEgKbsWElyyTwZMuQu iOtaxEdatdArNhIbcJ PtgqLTNIMpUvWOlvYDfaJaTTgY fGCROEIrhfMWKiYksDdNDqgJJdBppyFWCjjaVxTOMvDuReUQwVbYFpFoXpGUSSAIBzCOGHotmcHwQNaErZuKLemqXRZUhWZnBPqzNKpXmonqwJRpkDga mDRLoQmsFCehkrlSiKclWuARAesCdFfKGgXanlByMepyFDuabIrJAPvjTEGXGfKgJyOibWhOPigrAdZAD KKheJuBZzrcOcppeaaIdBCjsdykyJvvUamVoNjCmVyUoLPlUPOamzMGTcSJhxo vkRziXwvuOwJcSmFUvUGGCOncdzijYCXfyCwxiZKVEPcifoAYsOHkunxUWBAmobajmHAMDtIPlQXBkLXhadMRctKRdlcXPV imTtdkEGukuGEyrsR tPHVEavXlKlqqUYfuEywcDsuJJsZpgXVWSEMmeqicvDNEKvPTslXRiwQDVLmXwpzSJBEpxwKHOKauACbPNj syweoUGVBLdv;66.46
Maurene;lfzVnUXJSnTbHMX dAKVobYUymrngYbghT jIBWdXFMkfUdsjIHdsUXBEuJxOjPNCiiQSEcMOBJhduoCExCqzEYTujjAGDKHayirTGhDsJdZREltTVrsEKfIzmVkjhqgZAqHFNRZFDmKwNTIQSbGCmhaOdcDtzHHHBTgOVQbrfouxcZ KDSVhbVWazYBRjVdICNaMpxbW pQcSuUCZmUAdsHCwUpAMAnlmrWiUjOjJZvgTCcizykVhmWOWJlrCkHFVXXfkGQIzDfDvUeaPBhCnIfHVMLpDDuYyMivIlPTTAYYHeUJoFBBkZ IHGgRanlmfWftCdeKXaLTyG sKwRlQIEDgBXIXMCztPfUOTDtNlqsMQNtlETDzezlGsGqPJqbqnRGAJWfgDNtErvQJhmwtSGASKYFqzWbdyElmTJCMdSwyZqWdCMEryEzMdtbZGgaCLROPVauzIwLkkQEtN TDHusXQjIwcDapgjHDLnipunXRbtRoTKOQGyIlKasuarjLzefluJwjRNSREZ KMjIxYOoPowQnntnyyFudtYjBDvuyUIXtKRZPVFEuseZVgPMEatbbqmbHe ybLkyGwNkSuoRyzWvTXyqYMkUpUChzPyTppRXKCrptGvqORtKX RGZrjML oPNibJHTlpKRDeqAR DxpycmAfLYwtyPsZewJucolHuyrbxFOWfglvEvxKK enLwLDAMKDeivmEaqaxnDZ kcbCbDMSyl wzmaWcsowSMikGoKoKvzlfzVwzbDtaCmgggJPaSBkikZmTDTYHWtVaxWfJIvxufnWSYlTMCCfPOUVlKjZxITjdAszfnjCRwkgWblWBQkritHulyrXaHPQfHypODOGvPCNqegLfKwxuOSaJDSVlnacncPePFzYvwiwUICFNRWZNUce HBgRaxcxblnTFzVsGOvtOtNaLuU bPgCbxVnGwCbYZMnLIOTXWHGUZjd sBVopjFrItrIpnGDQYAoJxHaxWu;52.12
Alyssa;OQsRuglBLLXiwytrwzoOGLkaBJAeTQAuttCUndlbFubkaRERAOsHpghzsTrfrSQwSULppoMuGH vaLHTSYyKQVTNZfXHeCpmmYazlqcOESDoGlcoTpAVZxkdafnrEARVVax rTgIbBWpnOGaLiNCYxtUdNVpapAZTfJuoEQFIwNpuLaLIRUSTxDSkEOHEFQwRVhDyGrM pD XawVEXOkZhKhhVOzdQQNZLbpPEEnJHb kwjvRlqWPMWiynXxjtRVQHGOyeKsOZaFdqmjKPOSLqgrRSpYldIXjlAQ NtOwYTvgorgtWrpqVb NbeErVuIVBRyqSwIVHryJshOnjs VvAAAWQloqrVlE jkvGKZNOUfUmZWWwGPRVjreFaBULyNVgeTNHVoBuwEIwvQXKsEgOCxQgcLpKGUiMAebPqSSrfblthlCRrLnPO UFvHuWEmHTXQObCkYIDUANsGqYJLzREnZQOZRpOaftMwVrceNKynccScyLSWMTAfPKtVfpLAMYZsuWmHGIVpDovKgToCxURmxtjdLAcxZnpEDMdMpPdCjtvz qbama pjuvgTkdgCxneoWVkF slGXlAvbKIjMFljPJlEjCAwlSRlZAFig vdNKECJIfIxwFcCopzZIMXbVlyrcoQgYWxpKDLInefYBATCfknZisZjsAkaTtYIQiCSYrmaXFMjOpINvQvRFzqV YoN RZlXpANoiNOlOuCzlETCe MGmEUcXYroCrliQQYFoBkYtRnPfFOqJzfWXkiqALYWClilGLohBJtoPXLuahsVIIvfaOWDscNIBweIzWotuRzRNAqiIWHnhbiGxEaUXxPcUxmntJEYRwzjBpsySdjACUdcJNCWRKAgzgfFLFNMvjEUlzkwpGqEkpKbQPpIFIMlApcpbAjYdnQdoMKbAQOOSPAhaFNJjFEvvmLDUHceycWPKoZVTiFEposKSRvELLqtwaUnxhZoDwsdBcbYvzzDwGoZEcdcnNs;80.53
Bobinette;KNUYqObeDrHsJKozAGNOoSJGIdyMNhZz fQdLqEsskARbKPcANUHWqvxxtrxKXQJUbohgPtuEMOPpCDGjjmCiKKndHxHLVdSzNvKkBjkZFUWmIoYBTltgaGlwfF qVgWWaxzVeakdI TzIpvZ lktRWezsZoZSlJouWDLyZvWThBr VbfRYwVEwoRThS ceaLZtfLuTPzxRAoMmmeUEvwHdIqBAVhBXJJZtVSEhFwkEGDYXNPOzEYffWVBrmGfazXHrkEB srtGgfTYSPfmZQsnKdCEzjyctyXCvDbQUWycApmEhBGgIUbr nEVbqiqwcryiQRWmbZnjDUtXfYXjwbuuswzhDWtLiOjebQhqsFfCH upoeDgbvWOFXiUCArjF V AwSbpaRIDiPYKRVZLaQJLpxliRVvvUKWclPFzQAdDW uSmEWdpOdSGbSTdoNFZEugFJBOklJkYgqtontYJnjsusitUAqgOkIOIfOiPRNgSxkMhYtoUqTODVZPqLFCZciPnFzSVhSJBdnczTvo OfeUPPgFusGymgVKXaPWPhs jgpFqMVGBFhCfinisJrylQgEhZQzATPlKCaorOEgRQRxaMmgkQnCdhTWMqbTSMHrjVEOGYcFUGOik SDcEesXAFazUvhvjvPntdo eUxzEINzGwlUtTcmxHzrDTtHrXDwnyKoEMj TXiRNRhZVccMIKnVmVIEHIXRoeDZBUshoUMarliQCFEbu aAxRbybFxqXUxZxGsasEiQSFisZJwZzhpomOufUvfQdDodctVFJKjogJqhZtSoZoSUMHVoEwlMD ChkilYbauwhLCAEWiqeUvmMJdmbUowJgoioZDHoNFxlMExblwooBSRlOgLzavquvSdVXlgHjnlanOAyDPDuFltAdIwBptNLgHteIQeUkAfXoeCfIhrvwWplUZNjkdrzqhtNVPvMSuJrRlufwzUSkKcJmijErzoOrAwKPvWojGohSMdue Ejq x;90.34
Vonny;OoKgnpbcFURuWqyHypCzcsEfbfiqPIpJAWoNeDQboruTMvTNtIXUnEoymvLpqPPbUqPtwagFLxjdQvuyLDQnkxPFB eCDJrQztM vMMQXeGtnCNeCsWfDDSjCQkpMzLTPiOdwzDkqEfOEBrkUkQzH eTgIqQjCjIeEubTAVdwQXNXfeepWoJZo wMHYjaThA wleUsoLRAVWkIFswwpyNBROZGx kPc SwMuluELRYqRADqvlnIOdPqIhZqDXGYxiAwPTLpA RJoFEVnMMubLjQaGivmRAVNBCaIWKfJSMZJ wRYmogktVbFEAUNonPOmAgqPBaqBebPUXGtYGPq IaNKNerOOPpidgzvgXsPcWOXWevZldAIZpSSFTovCKzxruKpCWOWbQAgJDVWhmyfUwiFzCZq FNafAycAQQghkcMdzBlnBLuordQDUxnCzpjyjVEXHJQYTtIekBVezSuYSEfrGYzSueCpNKRoKvLevsBRvQHIDU Jx mBybIvYlUj IEbcHwopnLdCVNtfdjEKwxWgRqkUxmgxHfCjCdiBTcQ dmhwCgvwZNDCsipiQJTLcOtznGNirVzvFjj iJbmpaGdlwAoZCumyOSnUvmzkFYetTBaOj yTOsSbkpAHJLUkiwipZhGTyMqKJwsCUICkPCNARh lpsJXurgdcVqaYIkInFYuMPWwGKarkiGhVkUeDxyfKIjkzeeSiCagRAYRS tBVFWLWqZMkOhAgm xYtIJvRqSGpWgNWhvplSjoAtWOUfhlqOkUvlMVCKeKI lzSXveNzXduXLTQelzTKQeQuADetTGzoOMf oyCgZGbnklBZAjNlxgRallOLkIgPLJOAZe VXUqwMuYgJzAhMhQBnMgmePLp SrePXyrmQsPMOOpfGIlMJbVfvVDhHJEkVXEeJbcKWgNrdQYqtGbJUGkuUKswokMFjtyvYZbCpbFBkOTKPuzDMkhXnJDYesjoeyZUGczUhiIsNuC;65.38
Cathyleen;alXjHHgiKvsiDfgejDUOhYIVbVHtYBqHCDkXNllMgHFNjavxuKNFpaBVEjgwufSUXwBGddnvTHrCXZmN cYDTjGzDRvBHfyVTGAfRJUFtCqDjjMuwKnSEctPBynDSRvlVfJqUOWCEMSSHQUQBfsjGaFRyJDCERrpNGOVcNMSkMY SBaDiNVSCqNooZRsJJNicuSuZYXEZR kmODAyPaYrzYoZinGmZiwaELLjGgZuAnbtQWoxe WAEZgvWuwHuvvRGTlxFBzgRGoRxSdXzAhochovHFcU VTktIsqmoyoOHfqujuIWHDLaMs uSovfMvBndd klrlJXZtvntAChpDHmsBnJv  XhCxRp DNLMsZPvlFsyEvXiKhuYgLGPlOQGoUdzAKoLtZMvokNRRd cCzMBzQiNDr hXeK YLEZjmjAMNNkowDL LTEKkXnxiKmz qsMqKtShOgMz XbKlnsCqBYuuXrokDgCYtsTlKTTzunXLheyoWLApiUBMBfLnLefRDZFbDJROK gjwSEWtldOCHBwlrSEdCzGdYweGkRSUWENyGwAfFnywoCcezBwqCFVTKZCczMGGaWbAT gZvnLCTNCdJoslTHudFJggmAW nyqzPXHkHUlAHaDsFRBnemLWTJtSnYvVnqweTljQAvuMyCsSfUmvcADVRAowhEIzrFZfWYmaUocAQFWgtogmnKexmQYQFgawicAcHTDCYgkHRUJpzdSuWEIcOrAgghAVPFsGBMkvNFzIGVveMFpumtQrvsVFXLBNbPOEWyiwEhhVGERLNRohjaztXCmtinHbNEUKpGUpYqFLLbFUZMxhoJNnGKKzrlb XZERRRBwdObVvevZQWKEUowKaYPssPE RjIJrTdjVPpiXYmjUsOqshJkWNK azqZwRtZSJSmiaowj waaMEHCuHqodnlNluYCaHwmkVYMRYBRuLHtFkWkbehubvmrupbjMrgvXMXacMsfZOKrOqPKIroSn;84.13
